linha,cod_protheus,descricao,status,http_status,mensagem,created_id
2,ABR002,ABRIR PORTAS DE INSPECAO,SKIPPED_DUPLICATE,409,Registro duplicado,
3,ABR003,ABRIR PORTAS DE INSPECAO INFERIORES,SKIPPED_DUPLICATE,409,Registro duplicado,
4,ABR004,ABRIR TAMPA PRINCIPAL DA UNIDADE HIDRÁULICA,SKIPPED_DUPLICATE,409,Registro duplicado,
5,ACO001,ACOMPANHAR O CICLO DE BATIMENTO (INTERVALOS E DURACAO DOS PULSOS),CREATED,201,,65ff1f883cfe4dd7a51f59902
6,AJU001,AJUSTAR RASPADORES,CREATED,201,,3ffa948b641c492eb941ea43d
7,AJU002,AJUSTAR VEDACOES LATERAIS,CREATED,201,,99af3d177f53452e839c2b2d5
8,ANO001,ANOTAR DIFERENCIAL DE PRESSÃO ENTRE CAMARA LIMPA E SUJA,CREATED,201,,da5afcf488ae4ceaa0f2c5324
9,ANO002,ANOTAR E REALIZAR REGISTRO FOTOGRAFICO DOS DESVIOS ENCONTRADOS,CREATED,201,,a44cbcc4890745828607ac98a
10,ANO003,ANOTAR HORÍMETRO,CREATED,201,,cd1b5ac31fb24b60993c73ff1
11,AVA001,AVALIAR FOLGAS OU MOVIMENTAÇÕES NOS ALOJAMENTOS DOS ROLAMENTOS,CREATED,201,,820c863cfd134458adc9f9e00
12,BLO001,BLOQUEAR / IMPEDIR EQUIPAMENTO,CREATED,201,,09a99c6dd13a4a6790d71ea2e
13,CER001,CERTIFICAR SE O EQUIPAMENTO ESTA DESENERGIZADO,CREATED,201,,ce8b152679cb4238bed72bb78
14,CHE001,CHECAR FIXAÇÃO DO CARDAN NAS EXTREMIDADES (SEM PARAFUSOS SOLTOS OU DANIFICADOS),CREATED,201,,9a1dfd1319824a358ecde41a9
15,CHE002,CHECAR SE HÁ ACUMULO DE MATERIAL NO NOS BRAÇOS,CREATED,201,,c3a30936ee894fb99697111a8
16,CHE003,CHECAR TENSÃO (FROUXA OU EXCESSIVAMENTE APERTADA),CREATED,201,,387d0d6db8cb435f8eb515588
17,CHE004,CHECAR TRINCAS NA FUNDAÇÃO OU ESTRUTURA METÁLICA DE APOIO,CREATED,201,,6d16c03eef8b4697b7cee3924
18,CON001,CONFERIR A SINALIZAÇÃO DE SEGURANÇA (PLACAS E ETIQUETAS VISÍVEIS),CREATED,201,,4fc53b1c85b6444cb2dd92234
19,CON002,"CONFERIR ACOPLAMENTO QUANTO A ALINHAMENTO, DESGASTE, FIXACAO E LUBRIFICACAO (SE HOUVER)",CREATED,201,,db56daff3c514da4bdda66094
20,CON003,CONFERIR ALINHAMENTO,CREATED,201,,8bada1939fd24aacac7f9e136
21,CON004,CONFERIR ALINHAMENTO DA CORREIA E CONTRA-PESO,CREATED,201,,196565403c9f471e9882439cc
22,CON005,CONFERIR ALINHAMENTO ENTRE MANDÍBULAS E SE ESTÃO CENTRALIZADAS NA CARCAÇA,CREATED,201,,a21e3089a3bf4ee0b18a800e8
23,CON006,CONFERIR BALANCEAMENTO ESTÁTICO DO ROTOR,CREATED,201,,ea393d96f4134ab4b9cae44dd
24,CON007,"CONFERIR CALHAS DE ENTRADA E SAIDA QUANTO A DESGASTE, FUROS, TRINCAS E DEFORMACOES",CREATED,201,,f1c84997d19f4ac3bd29bfe8d
25,CON008,"CONFERIR CALHAS DE ENTRADA E SAIDA QUANTO A DESGASTE, FUROS, TRINCAS E DEFORMACOES",CREATED,201,,3ac61154714d44aa96b35db67
26,CON009,"CONFERIR CHAPA QUANTO A DESGASTE, FIXACAO, TRINCAS E DEFORMACOES",CREATED,201,,3ea22314ab614ceeb610e21ea
27,CON010,CONFERIR CONDICOES DA CORREIA,CREATED,201,,d28cf5f513d84bf98c9153b64
28,CON011,"CONFERIR CONJUNTO ACIONAMENTO QUANTO A PARAFUSOS SOLTOS, TRINCAS E VAZAMENTOS",CREATED,201,,7b6448cb3a1448fba1cf84218
29,CON012,"CONFERIR CONJUNTO ACIONAMENTO QUANTO A PARAFUSOS SOLTOS, TRINCAS E VAZAMENTOS",CREATED,201,,d9d966c646d54f4db98ac99a7
30,CON013,"CONFERIR CONJUNTO ACIONAMENTO QUANTO A PARAFUSOS SOLTOS, TRINCAS E VAZAMENTOS",CREATED,201,,d2b94e03a88d4d28a08c887ce
31,CON014,"CONFERIR CONJUNTO ROTATIVO QUANTO A VEDACAO, VAZAMENTOS, DESGASTES, DEFORMACOES E TRINCAS",CREATED,201,,fa2f53f411764a67a6ce714e2
32,CON015,"CONFERIR CORREIAS FALTANDO, PARTIDAS OU FORA DO ALINHAMENTO",CREATED,201,,3ef3c242144a42c091f2470c2
33,CON016,CONFERIR DESGASTE DA LAMINA,CREATED,201,,623509f17da04324aea0d0801
34,CON017,CONFERIR DESGASTE DOS ELEMENTOS ELASTICO DO ACOPLAMENTO (SE HOUVER),CREATED,201,,0a3fd7f8114142cb829e7b8d2
35,CON018,CONFERIR ELEMENTOS DO ACOPLAMENTO QUANTO A DESGASTE E FIXAÇÃO,CREATED,201,,44a4550b68e54feea6702b4de
36,CON019,"CONFERIR ELEMENTOS DO ACOPLAMENTO QUANTO A DESGASTE, FIXACAO E LUBRIFICACAO (SE HOUVER)",CREATED,201,,35af128f75304f47a98a3e92a
37,CON020,"CONFERIR ESTRUTURA EXTERNA QUANTO A OXIDAÇÃO, FIXAÇÃO, TRINCAS E DEFORMAÇÕES",CREATED,201,,6906ab4548a044229a448f8a2
38,CON021,"CONFERIR ESTRUTURA EXTERNA QUANTO A OXIDACAO, FIXACAO, TRINCAS E DEFORMACOES",CREATED,201,,b02495a06d64453bab921e74a
39,CON022,CONFERIR ESTRUTURA QUANTO A FIXACAO DEFORMACAO E OXIDACAO,CREATED,201,,d29e3e2165064ad9bf0ba74b0
40,CON023,CONFERIR FIXAÇÃO DA TELA E SEUS SUPORTES (VER SE HÁ FOLGAS OU DANOS),CREATED,201,,9d0795fbc6c64547a0fffd04c
41,CON024,"CONFERIR FIXAÇÃO DAS CUNHAS E PARAFUSOS DE FIXAÇÃO (SOLTOS, DESGASTADOS OU AUSENTES)",CREATED,201,,e85a6819d5724f889b594f5ed
42,CON025,CONFERIR FIXACAO DOS BRACOS DE ARTILACOES,CREATED,201,,71205c443ec04e53b43abf7ab
43,CON026,CONFERIR FIXACAO DOS MANCAIS DO EIXO DE ACIONAMENTO,CREATED,201,,1ec21f718083469fbd46f861f
44,CON027,CONFERIR FIXAÇÃO E ALINHAMENTO DOS VIBRADORES,CREATED,201,,6fab84f3526b4bd4879a92e01
45,CON028,CONFERIR LUBRIFICAÇÃO DAS CRUZETAS (GRAXEIRAS EM BOAS CONDIÇÕES),CREATED,201,,71f83e78085e4bd3acb8e7f32
46,CON029,"CONFERIR MANCAIS DOS ROLOS (ACIONAMENTO, RETORNO, DOBRA OU CONTRAPESO) QUANTO A FIXAÇÃO, POSIÇÃO DO EIXO E LIMPEZA",CREATED,201,,5e62cfb058224e5db8145e01c
47,CON030,"CONFERIR MANCAIS LA E LOA QUANTO A VAZAMENTOS, DESGASTE, TRINCAS, DEFORMAÇÃO E FIXAÇÃO",CREATED,201,,c24f4d7a00924164a7e6af403
48,CON031,CONFERIR NÍVEL DE GRAXA E REALIZAR LUBRIFICAÇÃO MANUAL (15 CICLOS POR LINHA).,CREATED,201,,2b427fe15c7643498cbf90e1d
49,CON032,"CONFERIR O ESTADO DA SUPERFÍCIE DO ALIMENTADOR (DESGASTE, ACÚMULO DE MATERIAL)",CREATED,201,,e65eeb890d5540ae91f092394
50,CON033,CONFERIR O TENSIONAMENTO E ESTADO DAS CORREIAS (SE APLICÁVEL),CREATED,201,,274d55c35c1d4b3a85b23221d
51,CON034,"CONFERIR PARAFUSOS DE FIXAÇÃO (SOLTOS, DESGASTADOS OU AUSENTES)",CREATED,201,,4f5d9bfc51ad4ddf843c21505
52,CON035,"CONFERIR PLENUM QUANTO A LIMPEZA, DESGASTE E TRINCAS",CREATED,201,,61b6ce7c5f2e4ed384b07ee82
53,CON036,CONFERIR POSICIONAMENTO DAS FLAUTAS,CREATED,201,,bd9355dd46b645f798fb9983d
54,CON037,CONFERIR PRESSÃO DE TRABALHO (CARGA E ALIVIO),CREATED,201,,b9c3e06ee40d481a8b7f6eb48
55,CON038,CONFERIR PRISIONEIROS E PARAFUSOS DA BASE (SEM FOLGAS OU MOVIMENTAÇÃO),CREATED,201,,b94ce4daac3841de83ea42e06
56,CON039,"CONFERIR PRISIONEIROS E PARAFUSOS DA BASE (SEM FOLGAS, SEM QUEBRAS)",CREATED,201,,3978d8b14a884c6084b2e1d56
57,CON040,"CONFERIR ROLOS (ACIONAMENTO, RETORNO, DOBRA OU CONTRAPESO) QUANTO A DESGASTE DO REVESTIMENTO, TRINCAS NOS MANCAIS",CREATED,201,,718231dd9c73443ab0610880f
58,CON041,CONFERIR SE ESTÃO CORRETAMENTE FIXADOS AOS BRAÇOS DO BRITADOR,CREATED,201,,155496df7f884f569746e62a9
59,CON042,CONFERIR SE HÁ VAZAMENTO DE GRAXA OU ÓLEO NOS MANCAIS,CREATED,201,,5dbe9a07bf86487281f5a3002
60,CON043,CONFERIR TRAVAMENTO CORRETO NO ALOJAMENTO,CREATED,201,,069162501c314eb794f424466
61,CON044,CONFERIR VEDACAO / ELIMINAR ENTRADA DE AR FALSO,CREATED,201,,9381c98bba8f4a088402ede58
62,CON045,CONFERIR VEDAÇÃO DA PORTA DE ACESSO À SALA E CORRIGIR SE NECESSÁRIO,CREATED,201,,5618f8abacd5474fa6e0555ef
63,CON046,CONFERIR VEDACAO DAS PORTAS DE INSPECAO SUPERIORES E INFERIORES,CREATED,201,,e9d57d260ad44ccf805292d65
64,CON047,CONFIRMAR QUE A PENEIRA ESTÁ LIVRE DE OBSTRUÇÕES NA ÁREA DE ACESSO E ESCAPE,CREATED,201,,17af8e34281245e7b6a7159f2
65,DES001,DESBLOQUEAR / DESIMPEDIR EQUIPAMENTO,CREATED,201,,c9e1a184ce14401984d93b390
66,DES002,DESMONTAGEM E MONTAGEM DO SILO NO BOJO,CREATED,201,,aca14955e6554b7abfbbc1329
67,DES003,DESTINAR CORRETAMENTE OS RESÍDUOS GERADOS,CREATED,201,,a7cdfe134c314cf29a1aba0eb
68,DRE001,DRENAR O CONDENSADO DA LINHA DE AR COMPRIMIDO,CREATED,201,,9739aafdc7b14b2687b4d56cb
69,DRE002,DRENAR O CONDENSADO DO RESERVATÓRIO DO COMPRESSOR,CREATED,201,,c2c91968c1c8495dbe7ba02ff
70,EFE001,EFETUAR LIMPEZA DO EQUIPAMENTO,CREATED,201,,735eb774617747e3a88c304ce
71,FAZ001,FAZER ANALISE PRELIMINAR DE RISCO (A.P.R.),CREATED,201,,48a1ee2b6f5d4a57ab775b5db
72,FEC001,FECHAR PORTAS DE INSPECAO,CREATED,201,,3c26eabfbbaa420f9bfd9b89f
73,FEC002,FECHAR TAMPA PRINCIPAL DA UNIDADE HIDRÁULICA,CREATED,201,,0e9fda0cf8ab46cd8b883e418
74,GAR001,"GARANTIR QUE A ÁREA ESTEJA LIMPA, SEM INTERFERÊNCIA DE OBJETOS ESTRANHOS",CREATED,201,,594f050d2a984f048fdff5909
75,GAR002,GARANTIR QUE NÃO HAJA OBSTRUÇÕES AO FLUXO DO MATERIAL,CREATED,201,,5839039ed1e54fcf87ecd78bf
76,GAR003,GARANTIR QUE OS MANCAIS ESTEJAM DEVIDAMENTE LUBRIFICADOS CONFORME ROTINA,CREATED,201,,3291fea08b3c4abaa799f36af
77,IDE001,IDENTIFICAR PRISIONEIROS QUEBRADOS OU ESPANADOS,CREATED,201,,ecf5712f8214416aa2d8bc728
78,INS001,"INSPECIONAR ABANADEIRA E CALHAS, DESGASTE, TRINCA, DESLOCAMENTOS, RUÍDOS, SOLTA. (MEDIDA INICIAL 775MM, TROCAR QUANDO ATIGIR 20MM A MENOS )",CREATED,201,,669ec953f4c749988b8d95000
79,INS002,INSPECIONAR ACOPLAMENTO QUANTO A ALINHAMENTO E DESGASTE,CREATED,201,,644b62c80a0b4eed8a5456972
80,INS003,INSPECIONAR BICOS INJETORES QUANTO A DESGASTE E FIXACAO,CREATED,201,,e99962fececd4326ae6f06092
81,INS004,INSPECIONAR CAMADA DE PROTEÇÃO INTERNA DA CÂMARA DE BRITAGEM.,CREATED,201,,34ec6afc618d446abb5934232
82,INS005,"INSPECIONAR CARCAÇA, QUEIXO, MANCAIS DO BRITADOR QUANTO A TRINCAS.",CREATED,201,,3f6fd9c968fd4d889c3a679f2
83,INS006,INSPECIONAR CONJUNTO DE REGULADOR DE PRESSAO,CREATED,201,,3be11bb3fddc4e97b3e074705
84,INS007,INSPECIONAR DESGASTE DO BOJO FIXO (CONCAVIDADE),CREATED,201,,a551e53a6fc84db29d15ff733
85,INS008,INSPECIONAR DESGASTE DOS REVESTIMENTOS DA BICA DE ALIMENTAÇÃO.,CREATED,201,,15abfe81ff1949fa9addc9d48
86,INS009,INSPECIONAR DESGASTE DOS REVESTIMENTOS DA BICA DE DESCARGA.,CREATED,201,,e8015b0eea2e4633ba6571059
87,INS010,INSPECIONAR DESGASTE NOS ROLAMENTOS E EIXOS,CREATED,201,,0921cb39f55e4c4f8744159f9
88,INS011,INSPECIONAR EIXO VIBRADOR E ACOPLAMENTOS.,CREATED,201,,d2593d197b7046419cb28f9f9
89,INS012,"INSPECIONAR FIXAÇÃO DO MOTOR PRISIONEIROS SOLTOS OU QUEBRADOS, VIBRAÇÕES ANORMAIS",CREATED,201,,8d3e322c198a4507a968f5194
90,INS013,INSPECIONAR FIXAÇÃO DOS VIBRADORES E SEUS SUPORTES,CREATED,201,,dab8329e78554bb7844ee9a67
91,INS014,INSPECIONAR GAIOLAS QUANTO A DESGASTE E DEFORMACOES,CREATED,201,,6659bbe3f4b74e07a28a4a8a3
92,INS015,"INSPECIONAR MANGAS QUANTO A DESGASTE, SATURACAO E FIXACAO",CREATED,201,,0923acbec2e24bfc8b836201c
93,INS016,"INSPECIONAR MOTOR ELÉTRICO (BASE, CARCAÇA, VENTILADOR, ETC)",CREATED,201,,522fef1f3a9d4b7681c57c5b8
94,INS017,"INSPECIONAR NEOPRENE DE ASSENTAMENTO DO BRITADOR QUANTO A DESGASTE, FALTANDO ETC.",CREATED,201,,4216cce7b8524ac3bff38370e
95,INS018,INSPECIONAR PONTOS DE SOLDA E PARAFUSOS ESTRUTURAIS,CREATED,201,,391168fb7b9b42f28eb603073
96,INS019,INSPECIONAR PRISIONEIROS DOS MANCAIS QUANTO A FOLGA OU QUEBRA.,CREATED,201,,f8faedb5ecef4315a7003951d
97,INS020,INSPECIONAR RETENTORES E LABIRINTOS.,CREATED,201,,ee03e52b91d045ab9ea58e92a
98,INS021,"INSPECIONAR ROTOR QUANTO A LIMPEZA, DESGASTE, TRINCAS E FIXAÇÃO",CREATED,201,,7fe3dd20c24641f783a13211f
99,INS022,INSPECIONAR SE A PÊRA ESTÁ LIVRE COM ALAVANCA,CREATED,201,,a467c8fe3cf14429b7ba956ab
100,INS023,INSPECIONAR SISTEMA DEFLETOR DE AR E TUBO DE ALIMENTAÇÃO.,CREATED,201,,01bd1b66055944b6ab7097c07
101,INS024,"INSPECIONAR TIRANTES E MOLAS QUANTO A TRINCA, QUEBRA, FOLGADOS.",CREATED,201,,812c0d770b84439b8f2d246e5
102,INS025,INSPECIONAR TRINCAS OU DANOS ESTRUTURAIS,CREATED,201,,b311053de4454c0eb31a24e81
103,INS026,"INSPECIONAR TRINCAS, EMPENOS OU DESALINHAMENTO DO CARDAN",CREATED,201,,83212c5e2f75423ca76b09abb
104,INS027,"INSPECIONAR TUBULACAO QUANTO A VAZAMENTOS, TRINCAS, CORROSAO E DEFORMACOES",CREATED,201,,c14a6f04eef9490bb148ba96a
105,INS028,"INSPECIONAR TUBULACAO QUANTO A VAZAMENTOS, TRINCAS, CORROSAO E DEFORMACOES",CREATED,201,,aadb59c5443a422380440c0c5
106,INS029,INSPECIONAR VENTURES QUANTO A DESGASTE E FIXACAO,CREATED,201,,2c865a9310cb49f3a0e071a8b
107,INS030,INSPECIONAR VISUALMENTE AS PONTAS DE TUNGSTÊNIO E PLACAS GUIAS DO ROTOR.,CREATED,201,,fe78c303f09e4e05a42209972
108,INS031,INSTALACAO DA TREMONHA,CREATED,201,,b513699f0c6149188db58693f
109,INS032,INSTALACAO DO SILO,CREATED,201,,097c24c32e0643fcb1401a25b
110,INS033,INSTALAR CARCAÇA,CREATED,201,,e00506c429a14d0898886873a
111,LIG001,LIGAR BOMBA HIDRÁULICA DO HP400,CREATED,201,,ad34f922646041ff88feb4c2e
112,LIM001,LIMPAR DRENOS DE CONDENSADO,CREATED,201,,4926b700c17f48c3bd2fc3eea
113,LIM002,LIMPAR E LUBRIFICAR FUSOS,CREATED,201,,43ad124c32994d87a7aee5ace
114,LIM003,LIMPAR EQUIPAMENTO,CREATED,201,,f0c24057852c44b4828a6a889
115,LIM004,LIMPAR FILTRO DE AR,CREATED,201,,6d5ddc81763e4aeaab05bed7a
116,LIM005,LIMPAR RASPADOR,CREATED,201,,2a6924209ba145019893a71d6
117,LIM006,LIMPAR ROLETES,CREATED,201,,82e5213c7a21441a8cbe9c678
118,LUB001,LUBRIFICAR ROLETES,CREATED,201,,d4173569d2f04352a8e648871
119,MED001,MEDIÇÃO DA ABERTURA DO BRITADOR (41 MM MÍN; 54 MM MÁX),CREATED,201,,203029c1cdda4da3a7f88f829
120,MED002,MEDIR ABERTURA DO BRITADOR E REGULAR SE NECESSÁRIO.,CREATED,201,,2d6e9b9b34194b34a9d9ea532
121,MED003,MEDIR FOLGA DOS ROLAMENTOS DO MANCAL DO 1º ROLO DE DOBRA E VERIFICAR CONDIÇÕES / FIXAÇÃO,CREATED,201,,9ed8d2efc9af4643ba4bb8a1f
122,MED004,MEDIR FOLGA DOS ROLAMENTOS DO MANCAL DO 2º ROLO DE DOBRA E VERIFICAR CONDIÇÕES / FIXAÇÃO,CREATED,201,,dd9487409f074917a679c5c7a
123,MED005,MEDIR FOLGA DOS ROLAMENTOS DO MANCAL DO CONTRAPESO E VERIFICAR CONDIÇÕES / FIXAÇÃO,CREATED,201,,5d436ad6285d49669abff501d
